filename,score
Prihoda2021_mAb_immunogenicity_49_pdb.npz,1.3894033
Prihoda2021_mAb_immunogenicity_130_pdb.npz,1.4403125
Prihoda2021_mAb_immunogenicity_186_pdb.npz,1.3656769
Prihoda2021_mAb_immunogenicity_70_pdb.npz,1.4425342
Prihoda2021_mAb_immunogenicity_128_pdb.npz,1.454475
Prihoda2021_mAb_immunogenicity_142_pdb.npz,1.3270504
Prihoda2021_mAb_immunogenicity_134_pdb.npz,1.4118873
Prihoda2021_mAb_immunogenicity_45_pdb.npz,1.3646
Prihoda2021_mAb_immunogenicity_72_pdb.npz,1.3419412
Prihoda2021_mAb_immunogenicity_116_pdb.npz,1.4980477
Prihoda2021_mAb_immunogenicity_162_pdb.npz,1.3233285
Prihoda2021_mAb_immunogenicity_208_pdb.npz,1.3566746
Prihoda2021_mAb_immunogenicity_132_pdb.npz,1.5302778
Prihoda2021_mAb_immunogenicity_197_pdb.npz,1.6521834
Prihoda2021_mAb_immunogenicity_196_pdb.npz,1.3990312
Prihoda2021_mAb_immunogenicity_204_pdb.npz,1.4092734
Prihoda2021_mAb_immunogenicity_123_pdb.npz,1.4208952
Prihoda2021_mAb_immunogenicity_205_pdb.npz,1.4924376
Prihoda2021_mAb_immunogenicity_158_pdb.npz,1.5588714
Prihoda2021_mAb_immunogenicity_215_pdb.npz,1.4798045
Prihoda2021_mAb_immunogenicity_8_pdb.npz,1.475163
Prihoda2021_mAb_immunogenicity_82_pdb.npz,1.4702632
Prihoda2021_mAb_immunogenicity_195_pdb.npz,1.3410318
Prihoda2021_mAb_immunogenicity_67_pdb.npz,1.5029008
Prihoda2021_mAb_immunogenicity_106_pdb.npz,1.4697555
Prihoda2021_mAb_immunogenicity_35_pdb.npz,1.383327
Prihoda2021_mAb_immunogenicity_107_pdb.npz,1.3698622
Prihoda2021_mAb_immunogenicity_12_pdb.npz,1.4767812
Prihoda2021_mAb_immunogenicity_33_pdb.npz,1.4951282
Prihoda2021_mAb_immunogenicity_50_pdb.npz,1.3589689
Prihoda2021_mAb_immunogenicity_5_pdb.npz,1.3589132
Prihoda2021_mAb_immunogenicity_11_pdb.npz,1.4245464
Prihoda2021_mAb_immunogenicity_94_pdb.npz,1.4685802
Prihoda2021_mAb_immunogenicity_189_pdb.npz,1.5787
Prihoda2021_mAb_immunogenicity_80_pdb.npz,1.316353
Prihoda2021_mAb_immunogenicity_7_pdb.npz,1.4478817
Prihoda2021_mAb_immunogenicity_187_pdb.npz,1.4840755
Prihoda2021_mAb_immunogenicity_157_pdb.npz,1.3409492
Prihoda2021_mAb_immunogenicity_131_pdb.npz,1.3837268
Prihoda2021_mAb_immunogenicity_39_pdb.npz,1.3786727
Prihoda2021_mAb_immunogenicity_38_pdb.npz,1.3666816
Prihoda2021_mAb_immunogenicity_167_pdb.npz,1.4585843
Prihoda2021_mAb_immunogenicity_59_pdb.npz,1.5291724
Prihoda2021_mAb_immunogenicity_202_pdb.npz,1.4391369
Prihoda2021_mAb_immunogenicity_99_pdb.npz,1.484117
Prihoda2021_mAb_immunogenicity_183_pdb.npz,1.3083289
Prihoda2021_mAb_immunogenicity_125_pdb.npz,1.4933096
Prihoda2021_mAb_immunogenicity_147_pdb.npz,1.4281723
Prihoda2021_mAb_immunogenicity_179_pdb.npz,1.2296879
Prihoda2021_mAb_immunogenicity_0_pdb.npz,1.6482258
Prihoda2021_mAb_immunogenicity_75_pdb.npz,1.4315927
Prihoda2021_mAb_immunogenicity_209_pdb.npz,1.4900615
Prihoda2021_mAb_immunogenicity_37_pdb.npz,1.6610599
Prihoda2021_mAb_immunogenicity_52_pdb.npz,1.4510878
Prihoda2021_mAb_immunogenicity_192_pdb.npz,1.4615616
Prihoda2021_mAb_immunogenicity_76_pdb.npz,1.4506459
Prihoda2021_mAb_immunogenicity_14_pdb.npz,1.228573
Prihoda2021_mAb_immunogenicity_64_pdb.npz,1.2568691
Prihoda2021_mAb_immunogenicity_86_pdb.npz,1.3844429
Prihoda2021_mAb_immunogenicity_165_pdb.npz,1.3378382
Prihoda2021_mAb_immunogenicity_77_pdb.npz,1.3358485
Prihoda2021_mAb_immunogenicity_17_pdb.npz,1.5194969
Prihoda2021_mAb_immunogenicity_156_pdb.npz,1.4526484
Prihoda2021_mAb_immunogenicity_163_pdb.npz,1.3468454
Prihoda2021_mAb_immunogenicity_44_pdb.npz,1.2929467
Prihoda2021_mAb_immunogenicity_58_pdb.npz,1.3488382
Prihoda2021_mAb_immunogenicity_216_pdb.npz,1.4693797
Prihoda2021_mAb_immunogenicity_113_pdb.npz,1.3911399
Prihoda2021_mAb_immunogenicity_109_pdb.npz,1.3066502
Prihoda2021_mAb_immunogenicity_65_pdb.npz,1.4275388
Prihoda2021_mAb_immunogenicity_213_pdb.npz,1.3593206
Prihoda2021_mAb_immunogenicity_168_pdb.npz,1.4806794
Prihoda2021_mAb_immunogenicity_98_pdb.npz,1.4274225
Prihoda2021_mAb_immunogenicity_25_pdb.npz,1.3620785
Prihoda2021_mAb_immunogenicity_211_pdb.npz,1.4614666
Prihoda2021_mAb_immunogenicity_126_pdb.npz,1.4861382
Prihoda2021_mAb_immunogenicity_46_pdb.npz,1.3613482
Prihoda2021_mAb_immunogenicity_85_pdb.npz,1.3687353
Prihoda2021_mAb_immunogenicity_148_pdb.npz,1.4684014
Prihoda2021_mAb_immunogenicity_16_pdb.npz,1.4975815
Prihoda2021_mAb_immunogenicity_61_pdb.npz,1.4250839
Prihoda2021_mAb_immunogenicity_73_pdb.npz,1.3696307
Prihoda2021_mAb_immunogenicity_51_pdb.npz,1.3984065
Prihoda2021_mAb_immunogenicity_170_pdb.npz,1.4151918
Prihoda2021_mAb_immunogenicity_29_pdb.npz,1.3691256
Prihoda2021_mAb_immunogenicity_43_pdb.npz,1.4100484
Prihoda2021_mAb_immunogenicity_31_pdb.npz,1.4012921
Prihoda2021_mAb_immunogenicity_114_pdb.npz,1.4847294
Prihoda2021_mAb_immunogenicity_62_pdb.npz,1.3851423
Prihoda2021_mAb_immunogenicity_19_pdb.npz,1.5477937
Prihoda2021_mAb_immunogenicity_23_pdb.npz,1.4797012
Prihoda2021_mAb_immunogenicity_169_pdb.npz,1.2945187
Prihoda2021_mAb_immunogenicity_92_pdb.npz,1.4137096
Prihoda2021_mAb_immunogenicity_111_pdb.npz,1.4783019
Prihoda2021_mAb_immunogenicity_54_pdb.npz,1.5252032
Prihoda2021_mAb_immunogenicity_53_pdb.npz,1.5189089
Prihoda2021_mAb_immunogenicity_81_pdb.npz,1.4194888
Prihoda2021_mAb_immunogenicity_149_pdb.npz,1.3466084
Prihoda2021_mAb_immunogenicity_18_pdb.npz,1.4524658
Prihoda2021_mAb_immunogenicity_41_pdb.npz,1.4991779
Prihoda2021_mAb_immunogenicity_118_pdb.npz,1.3420067
Prihoda2021_mAb_immunogenicity_87_pdb.npz,1.4143206
Prihoda2021_mAb_immunogenicity_171_pdb.npz,1.470933
Prihoda2021_mAb_immunogenicity_88_pdb.npz,1.4341583
Prihoda2021_mAb_immunogenicity_193_pdb.npz,1.3948089
Prihoda2021_mAb_immunogenicity_151_pdb.npz,1.447414
Prihoda2021_mAb_immunogenicity_112_pdb.npz,1.3804548
Prihoda2021_mAb_immunogenicity_173_pdb.npz,1.4823041
Prihoda2021_mAb_immunogenicity_144_pdb.npz,1.3831724
Prihoda2021_mAb_immunogenicity_135_pdb.npz,1.4529434
Prihoda2021_mAb_immunogenicity_120_pdb.npz,1.4924425
Prihoda2021_mAb_immunogenicity_21_pdb.npz,1.3797505
Prihoda2021_mAb_immunogenicity_84_pdb.npz,1.2920043
Prihoda2021_mAb_immunogenicity_27_pdb.npz,1.4659046
Prihoda2021_mAb_immunogenicity_184_pdb.npz,1.5243446
Prihoda2021_mAb_immunogenicity_4_pdb.npz,1.4014204
Prihoda2021_mAb_immunogenicity_26_pdb.npz,1.4296677
Prihoda2021_mAb_immunogenicity_143_pdb.npz,1.2636048
Prihoda2021_mAb_immunogenicity_115_pdb.npz,1.3356164
Prihoda2021_mAb_immunogenicity_164_pdb.npz,1.3596493
Prihoda2021_mAb_immunogenicity_190_pdb.npz,1.2834944
Prihoda2021_mAb_immunogenicity_36_pdb.npz,1.3258737
Prihoda2021_mAb_immunogenicity_198_pdb.npz,1.5007339
Prihoda2021_mAb_immunogenicity_47_pdb.npz,1.284883
Prihoda2021_mAb_immunogenicity_145_pdb.npz,1.4578646
Prihoda2021_mAb_immunogenicity_185_pdb.npz,1.3454198
Prihoda2021_mAb_immunogenicity_136_pdb.npz,1.425935
Prihoda2021_mAb_immunogenicity_127_pdb.npz,1.4482621
Prihoda2021_mAb_immunogenicity_83_pdb.npz,1.530549
Prihoda2021_mAb_immunogenicity_174_pdb.npz,1.3387175
Prihoda2021_mAb_immunogenicity_124_pdb.npz,1.3994839
Prihoda2021_mAb_immunogenicity_91_pdb.npz,1.4707612
Prihoda2021_mAb_immunogenicity_28_pdb.npz,1.4365066
Prihoda2021_mAb_immunogenicity_138_pdb.npz,1.512391
Prihoda2021_mAb_immunogenicity_175_pdb.npz,1.3705277
Prihoda2021_mAb_immunogenicity_203_pdb.npz,1.2230153
Prihoda2021_mAb_immunogenicity_93_pdb.npz,1.3264579
Prihoda2021_mAb_immunogenicity_201_pdb.npz,1.3145039
Prihoda2021_mAb_immunogenicity_155_pdb.npz,1.3205154
Prihoda2021_mAb_immunogenicity_68_pdb.npz,1.3511237
Prihoda2021_mAb_immunogenicity_137_pdb.npz,1.4648899
Prihoda2021_mAb_immunogenicity_97_pdb.npz,1.5084487
Prihoda2021_mAb_immunogenicity_200_pdb.npz,1.5378542
Prihoda2021_mAb_immunogenicity_199_pdb.npz,1.5145788
Prihoda2021_mAb_immunogenicity_160_pdb.npz,1.3604504
Prihoda2021_mAb_immunogenicity_121_pdb.npz,1.4197841
Prihoda2021_mAb_immunogenicity_101_pdb.npz,1.4430242
Prihoda2021_mAb_immunogenicity_20_pdb.npz,1.4498296
Prihoda2021_mAb_immunogenicity_2_pdb.npz,1.4457293
Prihoda2021_mAb_immunogenicity_188_pdb.npz,1.4409193
Prihoda2021_mAb_immunogenicity_95_pdb.npz,1.3742635
Prihoda2021_mAb_immunogenicity_96_pdb.npz,1.4196444
Prihoda2021_mAb_immunogenicity_214_pdb.npz,1.4535776
Prihoda2021_mAb_immunogenicity_63_pdb.npz,1.5151635
Prihoda2021_mAb_immunogenicity_3_pdb.npz,1.4673592
Prihoda2021_mAb_immunogenicity_100_pdb.npz,1.3657365
Prihoda2021_mAb_immunogenicity_139_pdb.npz,1.3283322
Prihoda2021_mAb_immunogenicity_15_pdb.npz,1.2235161
Prihoda2021_mAb_immunogenicity_159_pdb.npz,1.3666422
Prihoda2021_mAb_immunogenicity_146_pdb.npz,1.3958867
Prihoda2021_mAb_immunogenicity_154_pdb.npz,1.3831284
Prihoda2021_mAb_immunogenicity_176_pdb.npz,1.4269929
Prihoda2021_mAb_immunogenicity_74_pdb.npz,1.4853535
Prihoda2021_mAb_immunogenicity_79_pdb.npz,1.4057981
Prihoda2021_mAb_immunogenicity_119_pdb.npz,1.4246138
Prihoda2021_mAb_immunogenicity_104_pdb.npz,1.4006186
Prihoda2021_mAb_immunogenicity_133_pdb.npz,1.5310972
Prihoda2021_mAb_immunogenicity_6_pdb.npz,1.363188
Prihoda2021_mAb_immunogenicity_210_pdb.npz,1.4082258
Prihoda2021_mAb_immunogenicity_60_pdb.npz,1.4339269
Prihoda2021_mAb_immunogenicity_13_pdb.npz,1.4817419
Prihoda2021_mAb_immunogenicity_194_pdb.npz,1.2447895
Prihoda2021_mAb_immunogenicity_122_pdb.npz,1.4552151
Prihoda2021_mAb_immunogenicity_166_pdb.npz,1.4017283
Prihoda2021_mAb_immunogenicity_34_pdb.npz,1.4204513
Prihoda2021_mAb_immunogenicity_66_pdb.npz,1.3724163
Prihoda2021_mAb_immunogenicity_108_pdb.npz,1.4485527
Prihoda2021_mAb_immunogenicity_180_pdb.npz,1.373832
Prihoda2021_mAb_immunogenicity_182_pdb.npz,1.4018911
Prihoda2021_mAb_immunogenicity_22_pdb.npz,1.3485874
Prihoda2021_mAb_immunogenicity_42_pdb.npz,1.4274586
Prihoda2021_mAb_immunogenicity_9_pdb.npz,1.3716007
Prihoda2021_mAb_immunogenicity_181_pdb.npz,1.4372697
Prihoda2021_mAb_immunogenicity_48_pdb.npz,1.424072
Prihoda2021_mAb_immunogenicity_129_pdb.npz,1.428514
Prihoda2021_mAb_immunogenicity_110_pdb.npz,1.3685719
Prihoda2021_mAb_immunogenicity_212_pdb.npz,1.30579
Prihoda2021_mAb_immunogenicity_57_pdb.npz,1.4189116
Prihoda2021_mAb_immunogenicity_102_pdb.npz,1.4635326
Prihoda2021_mAb_immunogenicity_1_pdb.npz,1.5092782
Prihoda2021_mAb_immunogenicity_141_pdb.npz,1.4900868
Prihoda2021_mAb_immunogenicity_117_pdb.npz,1.4627628
Prihoda2021_mAb_immunogenicity_32_pdb.npz,1.4296207
Prihoda2021_mAb_immunogenicity_40_pdb.npz,1.4821054
Prihoda2021_mAb_immunogenicity_24_pdb.npz,1.4499826
Prihoda2021_mAb_immunogenicity_105_pdb.npz,1.3900144
Prihoda2021_mAb_immunogenicity_177_pdb.npz,1.4638923
Prihoda2021_mAb_immunogenicity_89_pdb.npz,1.4626247
Prihoda2021_mAb_immunogenicity_78_pdb.npz,1.4235963
Prihoda2021_mAb_immunogenicity_90_pdb.npz,1.4237895
Prihoda2021_mAb_immunogenicity_153_pdb.npz,1.4147869
Prihoda2021_mAb_immunogenicity_172_pdb.npz,1.4182149
Prihoda2021_mAb_immunogenicity_55_pdb.npz,1.4058094
Prihoda2021_mAb_immunogenicity_161_pdb.npz,1.5572344
Prihoda2021_mAb_immunogenicity_152_pdb.npz,1.4702393
Prihoda2021_mAb_immunogenicity_207_pdb.npz,1.464768
Prihoda2021_mAb_immunogenicity_56_pdb.npz,1.1837296
Prihoda2021_mAb_immunogenicity_71_pdb.npz,1.3610299
Prihoda2021_mAb_immunogenicity_103_pdb.npz,1.576911
